Date,Time,Value[mNAP],State of value
1984-05-25,00:00:00,---,255
1984-05-26,00:00:00,---,255
1984-05-27,00:00:00,---,255
1984-05-28,00:00:00,---,255
1984-05-29,00:00:00,---,255
1984-05-30,00:00:00,---,255
1984-05-31,00:00:00,---,255
1984-06-01,00:00:00,---,255
1984-06-02,00:00:00,---,255
1984-06-03,00:00:00,---,255
1984-06-04,00:00:00,---,255
1984-06-05,00:00:00,---,255
1984-06-06,00:00:00,---,255
1984-06-07,00:00:00,---,255
1984-06-08,00:00:00,---,255
1984-06-09,00:00:00,---,255
1984-06-10,00:00:00,---,255
1984-06-11,00:00:00,---,255
1984-06-12,00:00:00,---,255
1984-06-13,00:00:00,---,255
1984-06-14,00:00:00,---,255
1984-06-15,00:00:00,---,255
1984-06-16,00:00:00,---,255
1984-06-17,00:00:00,---,255
1984-06-18,00:00:00,---,255
1984-06-19,00:00:00,---,255
1984-06-20,00:00:00,---,255
1984-06-21,00:00:00,---,255
1984-06-22,00:00:00,---,40
1984-06-23,00:00:00,---,40
1984-06-24,00:00:00,---,255
1984-06-25,00:00:00,---,40
1984-06-26,00:00:00,---,40
1984-06-27,00:00:00,---,40
1984-06-28,00:00:00,---,40
1984-06-29,00:00:00,---,40
1984-06-30,00:00:00,---,40
1984-07-01,00:00:00,---,255
1984-07-02,00:00:00,---,40
1984-07-03,00:00:00,---,40
1984-07-04,00:00:00,---,40
1984-07-05,00:00:00,---,40
1984-07-06,00:00:00,---,40
1984-07-07,00:00:00,0.430,40
1984-07-08,00:00:00,0.494,40
1984-07-09,00:00:00,---,40
1984-07-10,00:00:00,0.463,40
1984-07-11,00:00:00,0.466,40
1984-07-12,00:00:00,0.483,40
1984-07-13,00:00:00,0.428,40
1984-07-14,00:00:00,0.503,40
1984-07-15,00:00:00,0.612,40
1984-07-16,00:00:00,---,40
1984-07-17,00:00:00,0.480,40
1984-07-18,00:00:00,0.459,40
1984-07-19,00:00:00,0.486,40
1984-07-20,00:00:00,0.340,40
1984-07-21,00:00:00,---,40
1984-07-22,00:00:00,0.458,40
1984-07-23,00:00:00,0.323,40
1984-07-24,00:00:00,0.343,40
1984-07-25,00:00:00,0.363,40
1984-07-26,00:00:00,0.419,40
1984-07-27,00:00:00,---,40
1984-07-28,00:00:00,0.484,40
1984-07-29,00:00:00,0.562,40
1984-07-30,00:00:00,0.399,40
1984-07-31,00:00:00,0.435,40
1984-08-01,00:00:00,0.482,40
1984-08-02,00:00:00,0.420,40
1984-08-03,00:00:00,0.407,40
1984-08-04,00:00:00,---,40
1984-08-05,00:00:00,---,255
1984-08-06,00:00:00,---,40
1984-08-07,00:00:00,---,40
1984-08-08,00:00:00,---,40
1984-08-09,00:00:00,---,40
1984-08-10,00:00:00,---,40
1984-08-11,00:00:00,---,40
1984-08-12,00:00:00,0.518,40
1984-08-13,00:00:00,---,40
1984-08-14,00:00:00,---,40
1984-08-15,00:00:00,---,40
1984-08-16,00:00:00,---,40
1984-08-17,00:00:00,---,40
1984-08-18,00:00:00,---,40
1984-08-19,00:00:00,---,40
1984-08-20,00:00:00,---,40
1984-08-21,00:00:00,---,40
1984-08-22,00:00:00,---,40
1984-08-23,00:00:00,---,40
1984-08-24,00:00:00,---,40
1984-08-25,00:00:00,0.539,40
1984-08-26,00:00:00,---,40
1984-08-27,00:00:00,---,40
1984-08-28,00:00:00,---,40
1984-08-29,00:00:00,0.514,40
1984-08-30,00:00:00,0.539,40
1984-08-31,00:00:00,---,40
1984-09-01,00:00:00,0.581,40
1984-09-02,00:00:00,0.594,40
1984-09-03,00:00:00,0.520,40
1984-09-04,00:00:00,0.601,40
1984-09-05,00:00:00,0.596,40
1984-09-06,00:00:00,---,40
1984-09-07,00:00:00,0.396,40
1984-09-08,00:00:00,0.519,40
1984-09-09,00:00:00,0.592,40
1984-09-10,00:00:00,1.044,40
1984-09-11,00:00:00,0.765,40
1984-09-12,00:00:00,0.550,40
1984-09-13,00:00:00,0.383,40
1984-09-14,00:00:00,0.531,40
1984-09-15,00:00:00,0.460,40
1984-09-16,00:00:00,0.478,40
1984-09-17,00:00:00,0.393,40
1984-09-18,00:00:00,0.405,40
1984-09-19,00:00:00,0.503,40
1984-09-20,00:00:00,0.615,40
1984-09-21,00:00:00,0.588,40
1984-09-22,00:00:00,0.696,40
1984-09-23,00:00:00,0.686,40
1984-09-24,00:00:00,0.483,40
1984-09-25,00:00:00,0.599,40
1984-09-26,00:00:00,0.675,40
1984-09-27,00:00:00,0.616,40
1984-09-28,00:00:00,0.439,40
1984-09-29,00:00:00,0.479,40
1984-09-30,00:00:00,0.536,40
1984-10-01,00:00:00,0.560,40
1984-10-02,00:00:00,0.610,40
1984-10-03,00:00:00,0.606,40
1984-10-04,00:00:00,0.396,40
1984-10-05,00:00:00,0.421,40
1984-10-06,00:00:00,0.759,40
1984-10-07,00:00:00,0.782,40
1984-10-08,00:00:00,0.587,40
1984-10-09,00:00:00,0.659,40
1984-10-10,00:00:00,0.523,40
1984-10-11,00:00:00,0.578,40
1984-10-12,00:00:00,0.559,40
1984-10-13,00:00:00,0.493,40
1984-10-14,00:00:00,0.554,40
1984-10-15,00:00:00,0.478,40
1984-10-16,00:00:00,0.412,40
1984-10-17,00:00:00,---,40
1984-10-18,00:00:00,0.537,40
1984-10-19,00:00:00,0.521,40
1984-10-20,00:00:00,0.889,40
1984-10-21,00:00:00,0.993,40
1984-10-22,00:00:00,0.546,40
1984-10-23,00:00:00,0.768,40
1984-10-24,00:00:00,0.663,40
1984-10-25,00:00:00,0.527,40
1984-10-26,00:00:00,0.619,40
1984-10-27,00:00:00,0.746,40
1984-10-28,00:00:00,0.637,40
1984-10-29,00:00:00,0.409,40
1984-10-30,00:00:00,0.304,40
1984-10-31,00:00:00,0.424,40
1984-11-01,00:00:00,0.407,40
1984-11-02,00:00:00,0.388,40
1984-11-03,00:00:00,0.536,40
1984-11-04,00:00:00,0.557,40
1984-11-05,00:00:00,0.638,40
1984-11-06,00:00:00,0.449,40
1984-11-07,00:00:00,0.484,40
1984-11-08,00:00:00,0.400,40
1984-11-09,00:00:00,0.355,40
1984-11-10,00:00:00,0.416,40
1984-11-11,00:00:00,0.423,40
1984-11-12,00:00:00,0.435,40
1984-11-13,00:00:00,0.485,40
1984-11-14,00:00:00,0.408,40
1984-11-15,00:00:00,0.400,40
1984-11-16,00:00:00,0.354,40
1984-11-17,00:00:00,0.360,40
1984-11-18,00:00:00,0.430,40
1984-11-19,00:00:00,0.457,40
1984-11-20,00:00:00,0.514,40
1984-11-21,00:00:00,0.493,40
1984-11-22,00:00:00,0.484,40
1984-11-23,00:00:00,0.821,40
1984-11-24,00:00:00,1.180,40
1984-11-25,00:00:00,0.994,40
1984-11-26,00:00:00,0.748,40
1984-11-27,00:00:00,0.522,40
1984-11-28,00:00:00,0.532,40
1984-11-29,00:00:00,0.627,40
1984-11-30,00:00:00,0.421,40
1984-12-01,00:00:00,---,40
1984-12-02,00:00:00,---,255
1984-12-03,00:00:00,---,255
1984-12-04,00:00:00,---,40
1984-12-05,00:00:00,0.325,40
1984-12-06,00:00:00,0.358,40
1984-12-07,00:00:00,0.381,40
1984-12-08,00:00:00,0.439,40
1984-12-09,00:00:00,0.648,40
1984-12-10,00:00:00,0.682,40
1984-12-11,00:00:00,0.414,40
1984-12-12,00:00:00,0.370,40
1984-12-13,00:00:00,0.373,40
1984-12-14,00:00:00,0.371,40
1984-12-15,00:00:00,0.411,40
1984-12-16,00:00:00,0.413,40
1984-12-17,00:00:00,0.377,40
1984-12-18,00:00:00,0.504,40
1984-12-19,00:00:00,0.604,40
1984-12-20,00:00:00,0.548,40
1984-12-21,00:00:00,0.852,40
1984-12-22,00:00:00,0.880,40
1984-12-23,00:00:00,0.630,40
1984-12-24,00:00:00,0.589,40
1984-12-25,00:00:00,0.799,40
1984-12-26,00:00:00,0.529,40
1984-12-27,00:00:00,0.578,40
1984-12-28,00:00:00,0.472,40
1984-12-29,00:00:00,0.427,40
1984-12-30,00:00:00,0.357,40
1984-12-31,00:00:00,0.296,40
1985-01-01,00:00:00,0.836,40
1985-01-02,00:00:00,0.608,40
1985-01-03,00:00:00,0.532,40
1985-01-04,00:00:00,0.603,40
1985-01-05,00:00:00,0.557,40
1985-01-06,00:00:00,0.524,40
1985-01-07,00:00:00,0.424,40
1985-01-08,00:00:00,0.304,40
1985-01-09,00:00:00,0.578,40
1985-01-10,00:00:00,0.621,40
1985-01-11,00:00:00,0.563,40
1985-01-12,00:00:00,0.545,40
1985-01-13,00:00:00,0.467,40
1985-01-14,00:00:00,0.328,40
1985-01-15,00:00:00,0.311,40
1985-01-16,00:00:00,0.346,40
1985-01-17,00:00:00,0.345,40
1985-01-18,00:00:00,0.325,40
1985-01-19,00:00:00,0.389,40
1985-01-20,00:00:00,0.405,40
1985-01-21,00:00:00,0.391,40
1985-01-22,00:00:00,0.375,40
1985-01-23,00:00:00,0.568,40
